mixCode;loadSize;aggregate1_name;aggregate1_target;aggregate1_actual;aggregate2_name;aggregate2_target;aggregate2_actual;aggregate3_name;aggregate3_target;aggregate3_actual;total_cement_target;total_cement_actual;admixture1_name;admixture1_target;admixture1_actual;admixture2_name;admixture2_target;admixture2_actual;admixture3_name;admixture3_target;admixture3_actual;admixture4_name;admixture4_target;admixture4_actual;total_water_target;total_water_actual;ResistenciaConvertida;water_to_cement_ratio
C-1500-0-28-8-R-F;102.0;GRAVA 3/4;0.0;0.0;ARENA;177306.0;178050.0;---;0.0;0.0;32640.0;32634.0;WR 340;179.52;179.58;PLASTOL CM 200;228.48;228.54;EUCOESTABILIZADOR;65.28;65.28;AIRTOC;0.0;0.0;16584.0;18690.0;105.0;0.5727155727155727
C-1500-1-28-6;1023.75;GRAVA;947355.0;947550.0;ARENA;1041665.0;1039325.0;ARENA CALIZA;0.0;0.0;204750.0;203740.0;MAPEPLAST N32;1161.0;984.0;MAPETARD SD180;387.0;385.9;EUCO ESTABILIZADOR 1;416.65;415.8;PLASTOL HMR 200;520.0;529.25;168015.0;160905.0;105.0;0.7897565524688328
C-1500-1-28-6;1305.0;GRAVA 3/4;1220670.0;1230450.0;ARENA;1353475.0;1362950.0;---;0.0;0.0;258200.0;259055.0;WR 340;1420.1;1417.8;PLASTOL CM 200;1807.4;1715.35;AIRTOC;0.0;0.0;EUCOESTABILIZADOR;0.0;0.0;181030.0;176475.0;105.0;0.6812259944799367
C-1500-1-28-6;997.5;GRAVA 3/4;908600.0;914875.0;ARENA;1074535.0;1074750.0;---;0.0;0.0;208875.0;209165.0;WR 340;1076.8;1051.8;PLASTOL CM 200;1462.1;1467.95;EUCOESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;139680.0;138385.0;105.0;0.6616068653933498
C-1500-1-28-6;115.0;GRAVA 3/4;101845.0;101925.0;ARENA;130815.0;130950.0;N/A;0.0;0.0;23000.0;23055.0;WR 340;119.6;119.3;PLASTOL CM 200;161.0;161.65;EUCOESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;15860.0;15805.0;105.0;0.6855345911949685
C-1500-2-28-6;30.0;GRAVA;29460.0;29550.0;ARENA;29185.0;29300.0;AG3;0.0;0.0;6300.0;6295.0;PLASTOL HRCMB 100;13.2;13.0;EUCON WR155 CM;39.9;39.7;MAPEPLAST R18A;0.0;0.0;DYNAMON SX;0.0;0.0;4745.0;4505.0;105.0;0.715647339158062
C-1500-2-28-6;25.0;GRAVA;22340.0;22325.0;ARENA;25190.0;25200.0;ARENA CALIZA;0.0;0.0;6500.0;6455.0;EUCON 340;33.8;33.55;PLASTOL;28.6;28.4;ESTABILIZADOR;0.0;0.0;AIRTOC;0.0;0.0;3795.0;3150.0;105.0;0.487993803253292
C-1500-2-28-6;95.0;GRAVA COMUN;0.0;0.0;GRAVA 1/2;85740.0;85775.0;ARENA;98490.0;98435.0;21380.0;21400.0;PLASTOL HR-CMB;30.4;17.8;EUCON RD12;90.2;89.95;ADMX3;0.0;0.0;ADMX4;0.0;0.0;16130.0;16140.0;105.0;0.7542056074766356
C-1500-2-28-6;90.0;GRAVA FINA;88725.0;88575.0;GRAVA COMÚN;0.0;0.0;ARENA;85845.0;85575.0;18900.0;18745.0;EUCON RD 12;104.4;104.8;PLASTOL HR-CMB-100;21.6;20.45;MAPEPLAST R 11;0.0;0.0;DYNAMON SX;0.0;0.0;15600.0;15610.0;105.0;0.8327554014403841
C-1500-2-28-6;15.0;GRAVA FINA;14775.0;14650.0;GRAVA COMÚN;0.0;0.0;ARENA;14635.0;14325.0;3150.0;3170.0;EUCON WR 155 CM;17.4;24.8;PLASTOL HR-CMB-100;3.6;2.5;MAPEPLAST R 11;0.0;0.0;DYNAMON SX;0.0;0.0;2285.0;2290.0;105.0;0.722397476340694
C-1500-4-1-60;4.0;GRAVA;3808.0;3750.0;ARENA;3608.0;3540.0;---;0.0;0.0;1320.0;1326.0;EUCON WR 340;0.0;0.0;PLASTOL HR-CM 200;12.56;15.46;AIRTOD;0.0;0.0;---;6.0;0.0;-42.0;0.0;105.0;0.0
C-1500-4-28-4;172.8;GRAVA;167634.0;166920.0;ARENA;166224.0;185790.0;---;0.0;0.0;40026.0;40482.0;EUCON WR 340;238.44;236.76;PLASTOL HR-CM 200;266.1;264.42;---;0.0;0.0;---;0.0;0.0;25392.0;25578.0;105.0;0.6318363717207648
C-1500-4-28-4;51.0;GRAVA;48042.0;48480.0;ARENA;53604.0;53670.0;AG3;0.0;0.0;10452.0;10404.0;PLASTOL HRCMB 100;21.96;20.76;EUCON WR155 CM;55.56;54.96;MAPEPLAST R18A;0.0;0.0;DYNAMON SX;0.0;0.0;6834.0;6408.0;105.0;0.615916955017301
C-1500-4-28-4;30.0;GRAVA;28536.0;29040.0;ARENA;30912.0;30900.0;ARENA CALIZA;0.0;0.0;6000.0;6006.0;EUCON WR 40;33.3;33.06;PLASTOL HR CM 200;30.0;30.48;AIRTOC D;0.0;0.0;EUCO ESTABILIZADOR 1;0.0;0.0;6042.0;6036.0;105.0;1.004995004995005
C-1500-4-28-4;73.5;GRAVA 3/4;68208.0;68700.0;ARENA;77748.0;78240.0;---;0.0;0.0;14700.0;14712.0;WR 340;80.88;80.52;PLASTOL CM 200;88.2;88.44;AIRTOC;0.0;0.0;EUCOESTABILIZADOR;0.0;0.0;10080.0;8970.0;105.0;0.6097063621533442
C-1500-4-28-4;553.5;GRAVA COMUN;539814.0;540390.0;GRAVA 1/2;0.0;0.0;ARENA;525162.0;523020.0;129360.0;128982.0;PLASTOL HR-CMB;155.7;149.7;EUCON RD12;545.16;538.26;ADMX3;0.0;0.0;ADMX4;0.0;0.0;94668.0;92292.0;105.0;0.7155417034935108
C-1500-4-28-4;678.0;GRAVA FINA;0.0;0.0;GRAVA COMÚN;658470.0;659070.0;ARENA;693012.0;693876.0;132204.0;132066.0;ESTABILIZADOR;522.12;547.44;PLASTOL;447.48;467.34;ADITIVO 3;0.0;0.0;ADITIVO 4;0.0;0.0;94674.0;87636.0;105.0;0.663577302257962
C-1500-4-28-4;18.0;GRAVA FINA;0.0;0.0;GRAVA COMÚN;17430.0;17430.0;ARENA;18288.0;18300.0;3510.0;3564.0;ESTABILIZADOR;13.86;12.78;PLASTOL;11.88;13.5;MAPEPLAST;0.0;0.0;DYNAMON;0.0;0.0;2670.0;2148.0;105.0;0.6026936026936027
C-1500-4-28-4;754.5;GRAVA FINA;0.0;0.0;GRAVA COMÚN;743496.0;743550.0;ARENA;747852.0;746190.0;150900.0;149682.0;EUCON WR 155 CM;793.62;784.86;PLASTOL HR-CMB-100;188.58;178.5;MAPEPLAST R 11;0.0;0.0;DYNAMON SX;0.0;0.0;112512.0;108510.0;105.0;0.7249368661562513
C-1500-4-28-6;166.23;ARENA;177436.0;176575.0;"GRAVA 1""";157486.0;157115.0;GRAVA 1/2;0.0;0.0;34916.0;34713.0;ADIFLOW H 264;64.96;62.51;ADICONTROL 142;153.09;152.81;3;0.0;0.0;4;0.0;0.0;18683.0;18704.35;105.0;0.5388283928211338
C-1500-4-28-6;252.0;ARENA;275681.0;274575.0;"GRAVA 1""";234787.0;233870.0;GRAVA 1/2;0.0;0.0;46074.0;46018.0;EUCOESTABILIZADOR;193.47;194.74;PLASTOL HR PLUS;148.69;143.57;ISORETARD;0.0;0.0;PLASTOL 8000;0.0;0.0;31080.21;30478.0;105.0;0.6623060541527228
C-1500-4-28-6;5944.75;GRAVA;5905711.0;5920740.0;ARENA;5624997.0;5676545.0;---;0.0;0.0;1282603.0;1301853.0;EUCON WR 340;6705.65;6575.03;PLASTOL HR-CM 200;11423.23;11218.2;---;0.0;0.0;---;0.0;0.0;917973.0;908201.0;105.0;0.6976217745014222
C-1500-4-28-6;133.0;GRAVA;134449.0;133875.0;ARENA;128835.0;128135.0;---;0.0;0.0;26600.0;26719.0;EUCON WR 340;133.0;131.74;PLASTOL HR-CM 200;186.2;185.99;---;0.0;0.0;AIRTOD;0.0;0.0;20006.0;20048.0;105.0;0.7503274823159549
C-1500-4-28-6;5516.7;GRAVA;5590907.0;5598425.0;ARENA;5338424.0;5415480.0;---;0.0;0.0;1069712.0;1088878.0;EUCON WR 340;5292.56;5170.48;PLASTOL HR-CM 200;8586.62;8360.03;AIRTOD;0.0;0.0;---;0.0;0.0;821170.0;820589.0;105.0;0.7536096789539324
C-1500-4-28-6;35.0;GRAVA;32046.0;31885.0;ARENA;36645.0;36855.0;ARENA CALIZA;0.0;0.0;8925.0;8918.0;EUCON 340;46.9;47.81;PLASTOL;39.2;39.83;ESTABILIZADOR;0.0;0.0;ADMX4;0.0;0.0;3899.0;3955.0;105.0;0.4434850863422293
C-1500-4-28-6;13449.8;GRAVA;12832834.0;12853421.0;ARENA;13437529.0;13428044.0;ARENA CALIZA;0.0;0.0;2951067.0;2961490.0;EUCON WR 40;16310.98;16267.72;PLASTOL HR CM 200;17250.24;17266.69;AIRTOC D;0.0;0.0;EUCO ESTABILIZADOR 1;0.0;0.0;2708307.0;2678207.0;105.0;0.9043444347271137
C-1500-4-28-6;181.3;GRAVA;167342.0;166810.0;ARENA;179655.0;180110.0;ARENA CALIZA;0.0;0.0;46228.0;46081.0;MAPEPLAST AC12;0.0;0.0;DYNAMON SXA-CO;0.0;0.0;EUCO ESTABILIZADOR 1;235.69;235.48;PLASTOL HMR 200;322.0;323.05;30282.0;30289.0;105.0;0.6572991037520887
C-1500-4-28-6;795.2;GRAVA;730618.0;730380.0;ARENA;812042.0;810775.0;ARENA CALIZA;0.0;0.0;171633.0;171003.0;MAPEPLAST N32;617.75;618.17;MAPETARD SD180;185.43;185.43;EUCO ESTABILIZADOR 1;602.91;548.8;PLASTOL HMR 200;756.0;731.01;125195.0;121674.0;105.0;0.7115313766425151
C-1500-4-28-6;66.5;GRAVA;62643.0;62545.0;ARENA;69783.0;69650.0;ARENA CALIZA;0.0;0.0;13636.0;13650.0;PLASTOL HDCMB;16.66;14.91;EUCON RD12;57.19;56.7;MAPEPLAST;0.0;0.0;DYNAMON;0.0;0.0;9016.0;8323.0;105.0;0.6097435897435898
C-1500-4-28-6;45.5;GRAVA;42238.0;41965.0;ARENA;46060.0;45885.0;ARENA CALIZA;0.0;0.0;10738.0;10773.0;SR100;41.86;42.84;SX;65.1;65.59;ADMX3;0.0;0.0;ADMX4;0.0;0.0;7252.0;7238.0;105.0;0.6718648473034438
C-1500-4-28-6;49.0;GRAVA;45003.0;44905.0;ARENA;48916.0;49280.0;ARENA CALIZA;0.0;0.0;12495.0;12397.0;SR100;0.0;0.0;SX;0.0;0.0;EUCON WR390;63.7;63.56;PLASTOL HMR 200;91.0;87.5;8057.0;7581.0;105.0;0.611518915866742
C-1500-4-28-6;14.0;GRAVA;13076.0;12845.0;ARENA;14224.0;13965.0;N/A;0.0;0.0;3500.0;3451.0;DYNAMON EASY 50;0.0;0.0;MAPETARD SD 180;0.0;0.0;EUCON WR 340;17.5;17.57;PLASTOL HMR 200;28.0;24.5;2296.0;2289.0;105.0;0.6632860040567952
